income,age
41100.0,48.75
54100.0,28.1
47800.0,46.75
19100.0,40.25
18200.0,35.8
19800.0,41.45
51500.0,31.55
39900.0,48.2
13000.0,36.8
31900.0,43.05
51700.0,29.7
56700.0,29.25
58800.0,29.65
46500.0,47.2
55000.0,28.35
18200.0,41.15
46400.0,45.15
46300.0,44.3
22100.0,46.65
53200.0,29.0
16700.0,40.2
46000.0,44.8
53200.0,29.2
41200.0,47.3
8000.0,36.5
13200.0,38.95
40600.0,43.7
12500.0,38.35
56700.0,29.85
56900.0,30.8
23900.0,38.3
40500.0,48.65
47300.0,43.3
55900.0,29.7
57100.0,28.3
6100.0,37.3
56500.0,29.35
27300.0,30.65
41700.0,47.6
52400.0,30.1
18800.0,43.55
56100.0,30.1
40200.0,45.65
53900.0,28.0
54300.0,29.0
20900.0,39.95
56100.0,28.5
17000.0,28.95
27600.0,41.35
54400.0,28.35
15700.0,40.55
55200.0,31.75
15000.0,44.15
25400.0,39.8
53300.0,28.75
41100.0,46.6
43700.0,48.1
23200.0,43.25
3200.0,39.65
50900.0,49.45
53600.0,29.15
59500.0,29.9
42100.0,46.6
11500.0,44.15
57200.0,29.25
3700.0,40.45
44600.0,44.2
54800.0,29.85
42200.0,47.85
54500.0,29.9
28000.0,37.4
30400.0,45.6
3100.0,42.6
25900.0,39.2
55300.0,30.55
45600.0,48.45
56100.0,29.4
16100.0,36.15
43300.0,46.05
45000.0,47.1
9900.000000000004,37.5
48400.0,47.15
58300.0,28.8
39500.0,45.6
41800.0,49.6
54300.0,48.4
52700.0,29.0
9600.0,42.4
44500.0,49.95
41500.0,45.15
27400.0,38.75
58500.0,30.35
8900.0,41.05
50700.0,46.1
56600.0,28.900000000000002
55300.0,28.8
39700.0,48.45
52000.0,29.85
8300.0,34.1
43300.0,43.75
56900.0,29.35
26000.0,44.4
44800.0,50.1
57000.0,28.3
49200.0,47.85
48600.0,46.2
12900.0,40.7
46200.0,47.95
54100.0,30.45
52900.0,28.15
40600.0,47.9
22200.0,40.9
53400.0,49.2
45300.0,47.3
17900.0,38.95
17000.0,38.05
40300.0,46.6
52200.0,48.35
51000.0,28.45
56900.0,29.05
52200.0,29.9
4100.0,41.0
54200.0,31.0
53700.0,29.1
56400.0,30.15
18400.0,36.75
54600.0,29.95
54700.0,29.2
53600.0,28.0
5099.999999999995,40.0
23000.0,40.55
17300.0,37.55
42200.0,42.05
10800.0,37.55
17000.0,35.55
54800.0,29.6
19400.0,40.35
42100.0,45.8
18000.0,44.9
21400.0,36.5
54800.0,29.65
40100.0,48.3
55200.0,29.1
46600.0,43.45
25800.0,40.55
17600.0,38.75
39800.0,48.05
21700.0,45.7
22900.0,36.2
54200.0,28.95
42700.0,44.15
21200.0,35.35
42700.0,45.65
57900.0,30.55
18200.0,36.4
15900.0,37.95
55000.0,28.75
56600.0,29.6
43100.0,48.95
54800.0,27.849999999999998
37900.0,50.4
49700.0,48.9
55300.0,30.5
41300.0,50.35
26200.0,41.65
52300.0,43.8
48200.0,45.2
47100.0,46.1
41500.0,43.05
22200.0,41.75
60100.0,29.45
44900.0,46.15
26300.0,44.55
55700.0,30.0
53500.0,30.7
58500.0,27.4
42200.0,45.8
56900.0,29.5
42800.0,50.4
50700.0,50.3
56100.0,28.599999999999998
25500.0,39.6
46300.0,44.35
45300.0,49.45
44300.0,47.35
41200.0,42.55
55800.0,29.15
22900.0,33.2
43200.0,45.9
25300.0,39.85
44600.0,47.4
46000.0,49.15
55600.0,27.849999999999998
54100.0,28.7
15100.0,40.2
44400.0,45.2
57700.0,29.05
16400.0,38.85
47200.0,48.35
12599.999999999995,39.3
55300.0,29.2
18800.0,39.9
49300.0,44.05
11800.0,42.35
55500.0,29.2
25100.0,43.2
38800.0,47.4
14600.0,40.3
43000.0,50.2
55500.0,29.65
45500.0,45.7
43400.0,46.85
17800.0,37.1
54000.0,28.05
54200.0,31.15
52900.0,31.15
53200.0,30.25
38200.0,47.45
25800.0,30.3
57400.0,29.8
47300.0,43.3
50200.0,30.1
56900.0,30.2
57100.0,29.85
45400.0,47.3
5600.0,37.7
16400.0,31.9
43100.0,45.0
53800.0,43.6
33800.0,39.45
40100.0,50.4
54400.0,29.45
54600.0,30.1
41300.0,45.35
54300.0,29.1
12300.0,42.45
10400.0,32.7
26300.0,30.0
40800.0,43.45
43500.0,46.65
55500.0,29.85
20000.0,42.3
23500.0,41.15
16200.0,48.05
10299.999999999996,36.9
56800.0,27.9
31900.0,42.0
13400.0,38.1
45400.0,47.8
57400.0,29.85
57100.0,29.0
47500.0,47.35
51900.0,29.0
52000.0,29.95
22300.0,40.1
39600.0,47.05
52500.0,29.55
28300.0,39.8
48600.0,46.2
49500.0,46.15
14300.0,39.2
49300.0,44.35
29000.0,36.5
16500.0,34.65
34600.0,47.85
22400.0,39.45
42000.0,46.2
55300.0,30.65
54400.0,29.25
55100.0,30.35
55400.0,29.4
48200.0,45.05
47800.0,48.15
42900.0,46.55
48600.0,46.7
52500.0,49.5
21100.0,33.35
15100.0,37.8
54900.0,27.8
49500.0,47.15
47700.0,46.8
54200.0,29.1
55500.0,28.75
56400.0,26.7
21100.0,39.4
57300.0,30.65
14100.0,35.7
13100.0,40.4
54900.0,29.6
55700.0,30.05
18300.0,39.2
26300.0,38.65
30300.0,41.55
60200.0,28.45
46900.0,46.2
38300.0,46.1
27400.0,44.15
54200.0,28.25
41800.0,44.85
38600.0,39.35
