SLNO,Candidate Ref,DOJ Extended,Duration to accept offer,Notice period,Offered band,Pecent hike expected in CTC,Percent hike offered in CTC,Percent difference CTC,Joining Bonus,Candidate relocate actual,Gender,Candidate Source,Rex in Yrs,LOB,Location,Age,Status
1,2110407,Yes,14,30,E2,-20.79,13.16,42.86,No,No,Female,Agency,7,ERS,Noida,34,Joined
2,2112635,No,18,30,E2,50,320,180,No,No,Male,Employee Referral,8,INFRA,Chennai,34,Joined
3,2112838,No,3,45,E2,42.84,42.84,0,No,No,Male,Agency,4,INFRA,Noida,27,Joined
4,2115021,No,26,30,E2,42.84,42.84,0,No,No,Male,Employee Referral,4,INFRA,Noida,34,Joined
5,2115125,Yes,1,120,E2,42.59,42.59,0,No,Yes,Male,Employee Referral,6,INFRA,Noida,34,Joined
6,2117167,Yes,17,30,E1,42.83,42.83,0,No,No,Male,Employee Referral,2,INFRA,Noida,34,Joined
7,2119124,Yes,37,30,E2,31.58,31.58,0,No,No,Male,Employee Referral,7,INFRA,Noida,32,Joined
9,2127572,Yes,16,0,E1,-20,-20,0,No,No,Female,Direct,8,Healthcare,Noida,34,Joined
11,2138169,No,1,30,E1,-22.22,-22.22,0,No,No,Female,Employee Referral,3,BFSI,Gurgaon,26,Joined
12,2143362,No,6,30,E1,240,220,-5.88,No,No,Male,Employee Referral,3,CSMP,Chennai,34,Joined
13,2151180,No,120,30,E2,5.26,-60.53,-62.5,No,No,Male,Employee Referral,3,INFRA,Noida,34,Not Joined
14,2154264,No,3,0,E2,28.21,37.18,7,No,No,Male,Employee Referral,7,INFRA,Chennai,34,Joined
15,2156236,Yes,14,30,E2,50,287.5,158.33,No,No,Male,Agency,7,INFRA,Noida,29,Not Joined
16,2158703,No,44,75,E2,45.45,60,10,No,No,Male,Direct,8,INFRA,Noida,34,Not Joined
17,2161257,No,7,30,E3,53.85,50,-2.5,No,No,Male,Employee Referral,5,INFRA,Noida,34,Not Joined
18,2162487,No,1,30,E3,-27.31,-27.31,0,No,No,Male,Direct,18,ETS,Bangalore,34,Joined
19,2166041,Yes,98,30,E2,50,165.36,76.91,No,No,Male,Agency,8,INFRA,Noida,36,Not Joined
20,2172982,No,1,0,E2,30,30,0,No,No,Male,Direct,6,INFRA,Noida,34,Joined
21,2173730,No,1,30,E1,-13.42,42.86,65,No,No,Male,Direct,1,INFRA,Gurgaon,34,Joined
22,2175237,No,7,30,E1,221.43,164.29,-17.78,No,No,Male,Direct,2,ERS,Noida,34,Joined
23,2175323,No,1,0,E3,42.78,42.78,0,No,Yes,Male,Employee Referral,8,INFRA,Chennai,29,Joined
24,2184108,No,0,30,E1,37.5,37.5,0,No,No,Female,Employee Referral,3,ERS,Chennai,30,Joined
25,2188014,No,1,0,E2,42.86,42.86,0,No,No,Male,Direct,5,INFRA,Noida,30,Joined
26,2191237,Yes,83,60,E2,25,25,0,No,No,Male,Direct,5,AXON,Noida,30,Joined
27,2194323,No,1,0,E3,114.82,42.86,-33.5,No,No,Male,Direct,6,INFRA,Noida,31,Joined
28,2205244,No,16,60,E1,41.18,0,-29.17,No,No,Male,Direct,7,AXON,Noida,31,Not Joined
29,2205496,Yes,32,120,E3,50.97,57,4,No,No,Male,Direct,13,ERS,Chennai,40,Joined
30,2207823,Yes,19,30,E2,42.85,42.85,0,No,No,Male,Direct,7,INFRA,Noida,28,Joined
31,2211699,Yes,0,0,E2,23.08,15.38,-6.25,No,No,Male,Employee Referral,6,BFSI,Chennai,34,Not Joined
32,2214217,No,4,30,E2,-2.17,-2.17,0,No,No,Female,Employee Referral,5,ERS,Chennai,33,Joined
33,2214446,No,38,45,E2,42.11,42.11,0,No,No,Male,Direct,13,BFSI,Chennai,25,Joined
37,2221643,No,0,30,E3,-14.91,-14.91,0,No,Yes,Male,Employee Referral,15,INFRA,Noida,44,Joined
38,2221707,Yes,18,90,E2,33.33,211.11,133.33,No,No,Male,Agency,6,ERS,Hyderabad,23,Not Joined
39,2222480,No,24,30,E2,20.48,23.95,2.88,No,No,Male,Direct,6,INFRA,Chennai,29,Not Joined
40,2222936,Yes,10,60,E3,25,29.17,3.33,No,No,Male,Employee Referral,6,INFRA,Noida,32,Joined
41,2223040,Yes,53,60,E2,34.64,28.52,-4.55,No,No,Male,Direct,6,AXON,Bangalore,30,Joined
43,2224425,No,0,0,E3,89.58,89.58,0,No,No,Male,Direct,20,ERS,Bangalore,44,Joined
44,2224426,Yes,5,0,E2,28.57,28.57,0,Yes,Yes,Male,Employee Referral,6,AXON,Bangalore,33,Joined
45,2225685,No,0,0,E3,7.69,-5.79,-12.52,No,No,Male,Employee Referral,13,INFRA,Noida,41,Joined
46,2226215,No,4,30,E1,-14.58,-14.58,0,No,No,Male,Direct,2,INFRA,Noida,28,Joined
47,2227339,Yes,46,30,E3,22.22,260,194.55,No,No,Male,Employee Referral,13,ERS,Chennai,36,Not Joined
48,2227431,Yes,2,75,E3,42.85,42.85,0,No,Yes,Male,Employee Referral,8,INFRA,Noida,30,Joined
49,2233506,No,1,90,E2,42.85,42.85,0,No,No,Male,Employee Referral,6,INFRA,Noida,31,Joined
51,2237763,Yes,31,90,E2,7.96,-55.75,-59.02,No,No,Male,Employee Referral,6,INFRA,Noida,32,Joined
52,2237899,Yes,4,0,E2,42.86,42.86,0,No,No,Female,Employee Referral,10,INFRA,Noida,34,Joined
53,2238751,Yes,54,60,E3,35,31,-2.96,No,No,Male,Employee Referral,9,INFRA,Noida,34,Not Joined
54,2238809,No,33,75,E3,31.82,31.82,0,No,No,Male,Employee Referral,7,INFRA,Noida,20,Not Joined
56,2245529,Yes,1,30,E2,62.5,12.5,-30.77,No,No,Female,Employee Referral,3,INFRA,Noida,30,Not Joined
58,2281509,No,1,30,E2,42.86,42.86,0,Yes,No,Male,Employee Referral,4,INFRA,Gurgaon,28,Joined
61,2282688,No,4,30,E1,233.33,150,-25,No,No,Female,Direct,1,ERS,Chennai,25,Joined
62,2282703,No,4,30,E1,233.33,150,-25,No,No,Female,Direct,1,ERS,Chennai,25,Joined
64,2283257,No,2,0,E2,49.89,49.89,0,No,Yes,Male,Direct,8,INFRA,Chennai,34,Joined
65,2286200,Yes,5,120,E1,42.86,0,-30,No,No,Male,Direct,5,AXON,Noida,28,Not Joined
66,2286297,Yes,105,120,E1,-16.67,-16.67,0,No,No,Female,Direct,3,AXON,Kolkata,34,Joined
67,2286317,No,1,60,E3,25,20.83,-3.33,No,No,Male,Employee Referral,6,INFRA,Noida,31,Joined
68,2286381,Yes,14,30,E1,-12.5,-12.5,0,No,No,Male,Direct,3,AXON,Kolkata,31,Joined
69,2286467,No,0,90,E1,33.5,28.64,-3.64,No,No,Male,Employee Referral,3,AXON,Noida,26,Joined
70,2286651,Yes,17,30,E2,40,15,-17.86,No,No,Female,Direct,9,CSMP,Gurgaon,37,Joined
71,2287263,Yes,69,75,E2,57.14,46.43,-6.82,No,No,Male,Employee Referral,6,ETS,Bangalore,29,Not Joined
72,2287314,Yes,68,60,E1,47.73,42.05,-3.85,No,No,Male,Direct,3,ERS,Chennai,26,Joined
73,2301543,No,1,60,E2,37.5,-12.5,-36.36,No,No,Male,Direct,2,INFRA,Noida,33,Joined
74,2302202,Yes,7,30,E2,42.86,42.86,0,No,No,Male,Direct,6,INFRA,Hyderabad,32,Joined
76,2322849,Yes,19,60,E2,50,30.5,-13,No,No,Male,Agency,10,ERS,Chennai,33,Not Joined
77,2322986,Yes,84,60,E2,42.86,42.86,0,No,No,Male,Agency,9,ERS,Chennai,33,Joined
78,2328123,No,28,30,E1,233.33,233.33,0,No,No,Male,Direct,3,ETS,Bangalore,30,Joined
80,2328443,No,0,30,E3,246.94,206.12,-11.76,No,No,Male,Direct,10,ERS,Chennai,33,Joined
84,2344484,No,126,30,E1,67.6,74.58,4.17,No,No,Male,Agency,5,ERS,Chennai,27,Not Joined
86,2347819,No,2,30,E1,14.75,-50.82,-57.14,No,No,Female,Agency,5,ERS,Chennai,29,Joined
87,2348220,No,4,30,E1,185.71,90.48,-33.33,No,No,Female,Direct,3,ERS,Chennai,30,Joined
88,2351625,Yes,0,30,E2,22.73,15.45,-5.93,No,No,Male,Agency,8,EAS,Chennai,37,Joined
89,2351866,Yes,10,30,E1,-15.32,-15.32,0,No,No,Male,Employee Referral,5,ETS,Bangalore,29,Joined
90,2352045,No,0,30,E1,-10.89,9.14,22.47,No,No,Male,Direct,1,INFRA,Noida,25,Joined
92,2352237,No,0,0,E1,11.11,-16.67,-25,No,No,Female,Direct,1,INFRA,Noida,24,Joined
94,2354362,Yes,0,0,E1,11.11,-16.67,-25,No,No,Female,Direct,1,INFRA,Noida,23,Joined
96,2356737,No,16,30,E1,0,-30.46,-30.46,No,No,Male,Direct,1,ERS,Bangalore,24,Joined
98,2361174,Yes,106,90,E2,38.89,27.31,-8.33,No,No,Male,Direct,7,BFSI,Bangalore,31,Not Joined
99,2364321,Yes,90,45,E3,150,48.5,-40.6,No,No,Female,Direct,10,ERS,Bangalore,36,Joined
100,2364483,Yes,14,30,E1,-13.33,-13.33,0,No,No,Male,Direct,2,INFRA,Noida,29,Joined
101,2364616,Yes,3,30,E2,49.25,42.86,-4.28,No,No,Male,Direct,5,INFRA,Chennai,32,Joined
102,2365129,No,4,30,E1,42.86,42.86,0,No,No,Male,Direct,2,INFRA,Cochin,24,Not Joined
103,2368400,No,0,30,E1,-6.25,-6.25,0,No,No,Male,Direct,0,ETS,Chennai,32,Joined
104,2368563,No,6,30,E1,35.71,42.86,5.26,No,No,Female,Agency,3,ERS,Chennai,28,Joined
106,2372840,Yes,21,30,E1,-25.52,-25.52,0,No,No,Male,Direct,1,INFRA,Chennai,23,Joined
